Letra,Condición,Definición,Respuesta,Tema,Nivel
U,Contiene,Nombre de la mujer idealizada a la que Don Quijote de la Mancha dedica todas sus hazañas.,Dulcinea,Literatura,Medio
V,Empieza,Movimiento literario que se caracteriza por romper con las normas tradicionales y buscar la innovación.,Vanguardia,Literatura,Medio
V,Empieza,"Nombre que recibe el idioma o lengua nativa, propia del lugar donde se escribe una obra.",Vernáculo,Literatura,Medio
W,Empieza,"Apellido del célebre y agudo escritor irlandés autor de ""El retrato de Dorian Gray"".",Wilde,Literatura,Medio
W,Contiene,Apellido del leal médico y compañero del detective literario Sherlock Holmes.,Watson,Literatura,Medio
X,Contiene,Parte culminante de una narración u obra dramática en la que el conflicto alcanza su máxima tensión.,Clímax,Literatura,Medio
X,Contiene,Conjunto de palabras escritas que conforman el contenido y la estructura de un documento literario.,Texto,Literatura,Medio
Y,Contiene,"Poema narrativo extenso, de tono grandilocuente, que relata acciones heroicas de la antigüedad, como la Ilíada.",Epopeya,Literatura,Medio
Y,Contiene,Conjunto de relatos o fábulas protagonizados por dioses y héroes que explican el origen del mundo de una cultura.,Mitología,Literatura,Medio
Z,Empieza,"Composición poética de origen árabe y popular en la España medieval, que cuenta con un estribillo.",Zéjel,Literatura,Medio
Z,Empieza,"Apellido del autor español de la exitosa novela contemporánea ""La sombra del viento"" (Carlos Ruiz ...).",Zafón,Literatura,Medio
A,Empieza,Figura retórica consistente en la repetición de una o varias palabras al principio de un verso o enunciado.,Anáfora,Literatura,Difícil
A,Empieza,Obra literaria o texto de los primeros siglos del cristianismo no aceptada como canónica por la Iglesia.,Apócrifo,Literatura,Difícil
B,Empieza,"Estado de insatisfacción crónica y romántica, término derivado de una famosa novela de Flaubert.",Bovarismo,Literatura,Difícil
B,Empieza,"Apellido del erudito escritor argentino, figura clave de la literatura universal, autor de ""El Aleph"".",Borges,Literatura,Difícil
C,Empieza,"Estrofa de cuatro versos alejandrinos monorrimos, propia del mester de clerecía medieval (seguida de la palabra ""vía"").",Cuaderna,Literatura,Difícil
C,Empieza,"Movimiento literario del Barroco español, representado por Quevedo, caracterizado por la agudeza y concisión de ideas.",Conceptismo,Literatura,Difícil
D,Empieza,"Composición poética de la antigua Grecia, de tono entusiasta, dedicada en su origen al dios Dioniso.",Ditirambo,Literatura,Difícil
D,Empieza,"Verso métrico de doce sílabas, muy utilizado en la poesía del Modernismo.",Dodecasílabo,Literatura,Difícil
E,Empieza,"Composición poética muy breve que expresa un pensamiento festivo, satírico o punzante de forma aguda.",Epigrama,Literatura,Difícil
E,Empieza,"Conjunto de versos que el autor añade de forma libre al final de un poema clásico, frecuentemente en un soneto.",Estrambote,Literatura,Difícil
F,Empieza,"Apellido del ilustrado y ensayista español del siglo XVIII (Benito Jerónimo...), autor del ""Teatro crítico universal"".",Feijoo,Literatura,Difícil
F,Empieza,"Discurso literario o político muy violento y acusatorio, término derivado de las oraciones de Demóstenes.",Filípica,Literatura,Difícil
G,Empieza,"Breve composición literaria, creada por Ramón Gómez de la Serna, que une humor y metáfora en una sola frase.",Greguería,Literatura,Difícil
G,Empieza,"Apellido del poeta y dramaturgo cordobés, máximo representante del culteranismo en el Barroco español.",Góngora,Literatura,Difícil
H,Empieza,Cada una de las dos mitades en las que una cesura divide un verso métrico largo.,Hemistiquio,Literatura,Difícil
H,Empieza,Palabra que ha sido registrada o empleada una única vez en todo un idioma o en la obra de un autor literario.,Hapax,Literatura,Difícil
I,Empieza,Principio o ley métrica que exige que todos los versos de un poema o estrofa tengan exactamente el mismo número de sílabas.,Isosilabismo,Literatura,Difícil
I,Empieza,Relación que un texto literario mantiene directa o indirectamente con otros textos contemporáneos o históricos.,Intertextualidad,Literatura,Difícil
J,Empieza,"Breve estrofa lírica romance, escrita en caracteres árabes o hebreos, que cerraba las moaxajas andalusíes.",Jarcha,Literatura,Difícil
J,Empieza,"Apellido del poeta español, galardonado con el Premio Nobel en 1956 y creador de la ""poesía pura"" (Juan Ramón...).",Jiménez,Literatura,Difícil
K,Empieza,Corriente filosófica importada de Alemania que influyó enormemente en la literatura española y la Institución Libre de Enseñanza.,Krausismo,Literatura,Difícil
K,Empieza,"Apellido del escritor checo-francés, autor de la reflexiva novela ""La insoportable levedad del ser"".",Kundera,Literatura,Difícil
L,Empieza,"Estrofa de cinco versos, combinación de heptasílabos y endecasílabos, introducida en España por Garcilaso de la Vega.",Lira,Literatura,Difícil
L,Empieza,"Composición poética dividida en estrofas que terminan en un estribillo, habitualmente de tono satírico o burlesco.",Letrilla,Literatura,Difícil
M,Empieza,"Oficio, escuela o arte de hacer poesía en la Edad Media, pudiendo ser de juglaría o de clerecía.",Mester,Literatura,Difícil
M,Empieza,"Poema estrófico de la poesía culta árabe y hebrea en Al-Ándalus, que servía de introducción para una jarcha.",Moaxaja,Literatura,Difícil
N,Empieza,"Corriente filosófica y literaria, muy presente en la obra de Dostoievski, que niega todo principio dogmático o religioso.",Nihilismo,Literatura,Difícil
N,Empieza,"Apellido del virtuoso escritor de origen ruso, nacionalizado estadounidense, autor de la novela ""Lolita"".",Nabokov,Literatura,Difícil
Ñ,Contiene,Mujer a la que en la antigüedad clásica y medieval se pagaba por ir a llorar y lamentarse en los entierros.,Plañidera,Literatura,Difícil
Ñ,Contiene,"Palabra que sigue a ""La..."" en el título de la famosa novela histórica de aventuras escrita por Arthur Conan Doyle.",Compañía,Literatura,Difícil
O,Empieza,"Estrofa de ocho versos endecasílabos con rima consonante, característica de los poemas épicos del Renacimiento.",Octava,Literatura,Difícil
O,Empieza,"Nombre del clásico poeta romano, desterrado por el emperador Augusto, famoso por su obra ""Las Metamorfosis"".",Ovidio,Literatura,Difícil
P,Empieza,"Figura retórica que consiste en utilizar en una oración palabras innecesarias para su comprensión, con el fin de darle expresividad.",Pleonasmo,Literatura,Difícil
P,Empieza,Técnica narrativa en la que conviven múltiples voces o perspectivas independientes dentro de una misma novela.,Polifonía,Literatura,Difícil
Q,Empieza,Figura retórica de sintaxis que consiste en cruzar o invertir el orden de los elementos en dos grupos de palabras.,Quiasmo,Literatura,Difícil
Q,Contiene,"Autor y rétor hispanorromano del siglo I, famoso por su influyente tratado de oratoria ""Institutio Oratoria"".",Quintiliano,Literatura,Difícil
R,Empieza,Estrofa compuesta por cuatro versos octosílabos con rima consonante abrazada (abba).,Redondilla,Literatura,Difícil
R,Empieza,Figura retórica que consiste en invertir los términos de una frase o cláusula en la siguiente para cambiar drásticamente su sentido.,Retruécano,Literatura,Difícil
S,Empieza,"Estrofa de cuatro versos de arte mayor, habitualmente alejandrinos, con rima consonante alterna (ABAB).",Serventesio,Literatura,Difícil
S,Empieza,"Figura retórica, variante de la metonimia, que consiste en designar la parte por el todo o el todo por la parte.",Sinécdoque,Literatura,Difícil
T,Empieza,"Estrofa de tres versos de arte mayor, frecuentemente endecasílabos encadenados, magistralmente usada en ""La Divina Comedia"".",Terceto,Literatura,Difícil
T,Empieza,"Nombre genérico que recibe cualquier figura retórica de significado en la que se usa una palabra en sentido figurado (metáfora, metonimia...).",Tropo,Literatura,Difícil
U,Empieza,"Corriente literaria francesa de principios del siglo XX, impulsada por Jules Romains, enfocada en la conciencia de grupo o colectiva.",Unanimismo,Literatura,Difícil
U,Contiene,Figura retórica que consiste en rodear un término o expresarlo de manera suavizada o indirecta para evitar una palabra tabú.,Eufemismo,Literatura,Difícil
V,Empieza,"Apellido del creador del ""esperpento"", estética literaria deformadora de la realidad española (Ramón María del...).",Valle-Inclán,Literatura,Difícil
V,Empieza,"Subgénero teatral de comedia ligera, de origen francés, basado en la intriga, los enredos amorosos y el ritmo trepidante.",Vodevil,Literatura,Difícil
W,Empieza,"Apellido de la brillante escritora británica pionera del monólogo interior y autora del ensayo ""Una habitación propia"".",Woolf,Literatura,Difícil
W,Empieza,"Apellido del poeta romántico estadounidense, padre del verso libre moderno y autor de ""Hojas de hierba"".",Whitman,Literatura,Difícil
X,Empieza,Término que en lingüística literaria designa a una palabra extranjera asimilada en una obra manteniendo su grafía original.,Xenismo,Literatura,Difícil
X,Contiene,"Verso compuesto métricamente por seis sílabas, frecuente en el romancero tradicional y la poesía popular.",Hexasílabo,Literatura,Difícil
Y,Empieza,"Pie de la métrica clásica griega y latina compuesto por una sílaba breve y otra larga, base del verso clásico inglés.",Yambo,Literatura,Difícil
Y,Contiene,"Breve poema medieval, de origen francés y forma libre, a menudo acompañado de música y de temática melancólica.",Lay,Literatura,Difícil
Z,Empieza,Figura retórica que consiste en utilizar una única palabra para suplir otras varias y sobreentendidas en oraciones consecutivas.,Zeugma,Literatura,Difícil
Z,Empieza,"Apellido del célebre escritor y ensayista francés, máximo exponente del naturalismo literario y autor del manifiesto ""J'accuse"".",Zola,Literatura,Difícil
A,Empieza,"Líquido transparente, inodoro e insípido, vital para la vida.",Agua,Ciencia,Fácil
A,Empieza,Persona entrenada para viajar al espacio en una nave.,Astronauta,Ciencia,Fácil
A,Empieza,Capa de gases que rodea a la Tierra y nos protege del Sol.,Atmósfera,Ciencia,Fácil
B,Empieza,Ciencia que estudia a los seres vivos.,Biología,Ciencia,Fácil
B,Empieza,Organismo microscópico unicelular que puede causar enfermedades o ser beneficioso.,Bacteria,Ciencia,Fácil
B,Empieza,Abertura por donde ingerimos los alimentos.,Boca,Ciencia,Fácil
C,Empieza,Órgano principal del sistema nervioso que tenemos dentro de la cabeza.,Cerebro,Ciencia,Fácil
C,Empieza,Unidad más pequeña de la que están formados todos los seres vivos.,Célula,Ciencia,Fácil
C,Empieza,Órgano que bombea la sangre a todo el cuerpo.,Corazón,Ciencia,Fácil
D,Empieza,Reptiles gigantes que vivieron hace millones de años y se extinguieron.,Dinosaurios,Ciencia,Fácil
D,Empieza,Proceso por el cual el cuerpo descompone los alimentos para obtener nutrientes.,Digestión,Ciencia,Fácil
D,Empieza,Parte de las manos y los pies que tienen uñas.,Dedos,Ciencia,Fácil
E,Empieza,Estructura de huesos que sostiene nuestro cuerpo.,Esqueleto,Ciencia,Fácil
E,Empieza,"Astro con luz propia que brilla en el cielo nocturno, como el Sol.",Estrella,Ciencia,Fácil
E,Empieza,"Capacidad que tienen los cuerpos para producir trabajo o cambios, como la eléctrica.",Energía,Ciencia,Fácil
F,Empieza,Resto de un ser vivo antiguo que se ha convertido en piedra.,Fósil,Ciencia,Fácil
F,Empieza,Aumento de la temperatura del cuerpo cuando estamos enfermos.,Fiebre,Ciencia,Fácil
F,Empieza,Parte de la planta que suele tener colores vivos y de la que nace el fruto.,Flor,Ciencia,Fácil
G,Empieza,Fuerza invisible que atrae los objetos hacia el suelo.,Gravedad,Ciencia,Fácil
G,Empieza,"Estado de la materia que no tiene forma ni volumen fijo, como el aire.",Gas,Ciencia,Fácil
G,Empieza,"Enfermedad común en invierno causada por un virus, que da tos y fiebre.",Gripe,Ciencia,Fácil
H,Empieza,Pieza dura y blanca que forma el esqueleto.,Hueso,Ciencia,Fácil
H,Empieza,Agua en estado sólido por efecto del frío.,Hielo,Ciencia,Fácil
H,Empieza,Órgano del cuerpo que limpia la sangre y produce bilis.,Hígado,Ciencia,Fácil
I,Empieza,"Animal pequeño de seis patas, como la hormiga o la mosca.",Insecto,Ciencia,Fácil
I,Empieza,Objeto que atrae a los metales como el hierro.,Imán,Ciencia,Fácil
I,Empieza,Tubo largo del aparato digestivo donde se absorben los alimentos.,Intestino,Ciencia,Fácil
J,Empieza,Planeta más grande de nuestro Sistema Solar.,Júpiter,Ciencia,Fácil
J,Empieza,Terreno donde se cultivan plantas y flores ornamentales.,Jardín,Ciencia,Fácil
J,Empieza,Mamífero de cuello muy largo que vive en África.,Jirafa,Ciencia,Fácil
K,Empieza,Unidad de medida de peso que equivale a mil gramos.,Kilo,Ciencia,Fácil
K,Empieza,Animal australiano parecido a un osito que come eucalipto.,Koala,Ciencia,Fácil
K,Empieza,Fruta de piel peluda marrón e interior verde.,Kiwi,Ciencia,Fácil
L,Empieza,Satélite natural de la Tierra que vemos por la noche.,Luna,Ciencia,Fácil
L,Empieza,Lugar equipado con instrumentos para hacer experimentos científicos.,Laboratorio,Ciencia,Fácil
L,Empieza,Energía que nos permite ver las cosas y que viene del Sol o de bombillas.,Luz,Ciencia,Fácil
M,Empieza,"Instrumento que sirve para ver cosas muy pequeñas, como las células.",Microscopio,Ciencia,Fácil
M,Empieza,Tejido del cuerpo que se contrae y relaja para producir movimiento.,Músculo,Ciencia,Fácil
M,Empieza,Profesional de la salud que nos cura cuando estamos enfermos.,Médico,Ciencia,Fácil
N,Empieza,Masa de vapor de agua que flota en el cielo y produce lluvia.,Nube,Ciencia,Fácil
N,Empieza,"Todo lo que nos rodea y no ha sido creado por el hombre: plantas, animales, montañas...",Naturaleza,Ciencia,Fácil
N,Empieza,Parte del cuerpo que usamos para oler y respirar.,Nariz,Ciencia,Fácil
Ñ,Contiene,Insecto de ocho patas que teje redes para atrapar a sus presas.,Araña,Ciencia,Fácil
Ñ,Contiene,Órgano vital en forma de frijol que filtra la sangre y produce orina.,Riñón,Ciencia,Fácil
Ñ,Contiene,Estación del año en la que se caen las hojas de los árboles.,Otoño,Ciencia,Fácil
O,Empieza,Gas del aire que necesitamos respirar para vivir.,Oxígeno,Ciencia,Fácil
O,Empieza,Órgano del sentido de la vista.,Ojo,Ciencia,Fácil
O,Empieza,Gran masa de agua salada que cubre la mayor parte de la Tierra.,Océano,Ciencia,Fácil
P,Empieza,"Cuerpo celeste que gira alrededor de una estrella, como la Tierra.",Planeta,Ciencia,Fácil
P,Empieza,Ser vivo que hace la fotosíntesis y no se puede desplazar.,Planta,Ciencia,Fácil
P,Empieza,Órgano que usamos para respirar aire.,Pulmón,Ciencia,Fácil
Q,Empieza,Ciencia que estudia de qué están hechas las cosas y cómo cambian.,Química,Ciencia,Fácil
Q,Empieza,Lesión en la piel causada por el fuego o el calor excesivo.,Quemadura,Ciencia,Fácil
Q,Contiene,Conjunto de huesos que sostiene el cuerpo.,Esqueleto,Ciencia,Fácil
R,Empieza,Parte de la planta que está bajo tierra y absorbe agua.,Raíz,Ciencia,Fácil
R,Empieza,Proceso de volver a usar materiales como papel o plástico para no tirar basura.,Reciclaje,Ciencia,Fácil
R,Empieza,Descarga eléctrica muy luminosa que cae durante una tormenta.,Rayo,Ciencia,Fácil
S,Empieza,Estrella que nos da luz y calor y es el centro de nuestro sistema.,Sol,Ciencia,Fácil
S,Empieza,Líquido rojo que circula por nuestras venas.,Sangre,Ciencia,Fácil
S,Empieza,Lo que oímos cuando algo vibra y llega a nuestros oídos.,Sonido,Ciencia,Fácil
T,Empieza,Planeta donde vivimos.,Tierra,Ciencia,Fácil
T,Empieza,Instrumento que sirve para medir la temperatura.,Termómetro,Ciencia,Fácil
T,Empieza,"Fenómeno meteorológico con lluvia, viento, rayos y truenos.",Tormenta,Ciencia,Fácil
U,Empieza,"Todo lo que existe: el espacio, las estrellas, los planetas y las galaxias.",Universo,Ciencia,Fácil
U,Empieza,Séptimo planeta del sistema solar.,Urano,Ciencia,Fácil
U,Empieza,Parte dura que protege la punta de los dedos.,Uña,Ciencia,Fácil
V,Empieza,Montaña que tiene un cráter por donde sale lava y humo.,Volcán,Ciencia,Fácil
V,Empieza,Microorganismo muy pequeño que causa enfermedades como la gripe.,Virus,Ciencia,Fácil
V,Empieza,Aire en movimiento.,Viento,Ciencia,Fácil
W,Contiene,Apellido del naturalista que propuso la teoría de la evolución (Charles...).,Darwin,Ciencia,Fácil
W,Contiene,Sistema de páginas e información en internet (World Wide...).,Web,Ciencia,Fácil
W,Contiene,"Fruta pequeña de color marrón por fuera y verde por dentro (Repetida, válida por contener W en inglés o ser préstamo).",Kiwi,Ciencia,Fácil
X,Contiene,Gas vital que respiramos (contiene la x).,Oxígeno,Ciencia,Fácil
X,Contiene,Prueba científica para descubrir algo nuevo o comprobar una idea.,Experimento,Ciencia,Fácil
X,Contiene,"Gran sistema de estrellas, gas y polvo; la nuestra es la Vía Láctea.",Galaxia,Ciencia,Fácil
Y,Empieza,Parte amarilla del huevo.,Yema,Ciencia,Fácil
Y,Empieza,Material blanco que se usa para curar huesos rotos (escayola).,Yeso,Ciencia,Fácil
Y,Contiene,Animal cánido parecido al lobo que vive en América (contiene la y).,Coyote,Ciencia,Fácil
Z,Empieza,Lugar donde se cuidan y exhiben animales de muchas especies.,Zoológico,Ciencia,Fácil
Z,Empieza,Animal mamífero conocido por su astucia y su cola peluda.,Zorro,Ciencia,Fácil
Z,Empieza,Ciencia que estudia a los animales.,Zoología,Ciencia,Fácil
A,Empieza,"Partícula más pequeña de un elemento químico, formada por protones, neutrones y electrones.",Átomo,Ciencia,Medio
A,Empieza,Molécula que contiene la información genética de los seres vivos.,ADN,Ciencia,Medio
A,Empieza,Cuerpo rocoso y metálico más pequeño que un planeta que orbita alrededor del Sol.,Asteroide,Ciencia,Medio
B,Empieza,Instrumento que sirve para medir la presión atmosférica.,Barómetro,Ciencia,Medio
B,Empieza,Variedad de seres vivos que existen en el planeta o en una región concreta.,Biodiversidad,Ciencia,Medio
B,Empieza,Líquido producido por el hígado que ayuda a la digestión de las grasas.,Bilis,Ciencia,Medio
C,Empieza,Estructura en forma de filamento que se encuentra en el núcleo de las células y contiene el ADN.,Cromosoma,Ciencia,Medio
C,Empieza,Cuerpo celeste constituido por polvo y rocas que orbita el Sol dejando una cola luminosa.,Cometa,Ciencia,Medio
C,Empieza,Paso de una sustancia del estado gaseoso al estado líquido.,Condensación,Ciencia,Medio
D,Empieza,Cantidad de masa que hay en un determinado volumen de una sustancia.,Densidad,Ciencia,Medio
D,Empieza,Enfermedad crónica en la que el cuerpo no puede regular la cantidad de azúcar en la sangre.,Diabetes,Ciencia,Medio
D,Empieza,Animal que caza a otros animales para alimentarse.,Depredador,Ciencia,Medio
E,Empieza,Fenómeno astronómico en el que un cuerpo celeste bloquea la luz de otro.,Eclipse,Ciencia,Medio
E,Empieza,Comunidad formada por los seres vivos y el medio físico en el que se relacionan.,Ecosistema,Ciencia,Medio
E,Empieza,Flujo de carga eléctrica que recorre un material conductor.,Electricidad,Ciencia,Medio
F,Empieza,Proceso químico por el cual las plantas transforman la luz solar en energía.,Fotosíntesis,Ciencia,Medio
F,Empieza,Fuerza que se opone al movimiento de una superficie sobre otra.,Fricción,Ciencia,Medio
F,Empieza,Cambio de estado de sólido a líquido por la acción del calor.,Fusión,Ciencia,Medio
G,Empieza,Parte de la biología que estudia los genes y la herencia.,Genética,Ciencia,Medio
G,Empieza,"Ciencia que estudia la composición, estructura y evolución de la Tierra.",Geología,Ciencia,Medio
G,Empieza,Célula de la sangre (roja o blanca) encargada de transportar oxígeno o defender al organismo.,Glóbulo,Ciencia,Medio
H,Empieza,Entorno natural en el que vive una especie animal o vegetal.,Hábitat,Ciencia,Medio
H,Empieza,Elemento químico más ligero y abundante del universo.,Hidrógeno,Ciencia,Medio
H,Empieza,Salida abundante de sangre por rotura de vasos sanguíneos.,Hemorragia,Ciencia,Medio
I,Empieza,Propiedad de los cuerpos de mantener su estado de reposo o movimiento si no actúa una fuerza sobre ellos.,Inercia,Ciencia,Medio
I,Empieza,Capacidad del organismo para resistir y defenderse de una infección o enfermedad.,Inmunidad,Ciencia,Medio
I,Empieza,Parte coloreada del ojo que controla la cantidad de luz que entra en la pupila.,Iris,Ciencia,Medio
J,Empieza,"Unidad del Sistema Internacional utilizada para medir energía, trabajo y calor.",Julio,Ciencia,Medio
J,Empieza,Periodo geológico de la Era Mesozoica conocido por el dominio de los grandes dinosaurios.,Jurásico,Ciencia,Medio
J,Empieza,"Macho del cerdo salvaje, mamífero de gran fortaleza y colmillos salientes.",Jabalí,Ciencia,Medio
K,Empieza,Unidad básica de temperatura en el Sistema Internacional.,Kelvin,Ciencia,Medio
K,Empieza,Unidad de potencia eléctrica que equivale a 1000 vatios.,Kilovatio,Ciencia,Medio
K,Empieza,"Elemento químico, gas noble, cuyo símbolo es Kr.",Kriptón,Ciencia,Medio
L,Empieza,Dispositivo que emite un haz de luz muy intenso y concentrado.,Láser,Ciencia,Medio
L,Empieza,Forma juvenil de ciertos animales (como insectos o anfibios) antes de la metamorfosis.,Larva,Ciencia,Medio
L,Empieza,Órgano del conducto respiratorio donde se encuentran las cuerdas vocales.,Laringe,Ciencia,Medio
M,Empieza,Conjunto de átomos unidos por enlaces químicos; es la parte más pequeña de una sustancia pura.,Molécula,Ciencia,Medio
M,Empieza,Conjunto de reacciones químicas que ocurren en las células para obtener energía.,Metabolismo,Ciencia,Medio
M,Empieza,Roca fundida que se encuentra bajo la corteza terrestre a muy alta temperatura.,Magma,Ciencia,Medio
N,Empieza,Partícula subatómica sin carga eléctrica que se encuentra en el núcleo del átomo.,Neutrón,Ciencia,Medio
N,Empieza,Célula principal del sistema nervioso encargada de transmitir impulsos.,Neurona,Ciencia,Medio
N,Empieza,Gas que constituye la mayor parte del aire que respiramos (aprox. 78%).,Nitrógeno,Ciencia,Medio
Ñ,Contiene,"Dolor de cabeza muy intenso y recurrente, a menudo en un solo lado.",Migraña,Ciencia,Medio
Ñ,Contiene,Uña grande y dura que tienen en las patas animales como el caballo o la cabra.,Pezuña,Ciencia,Medio
Ñ,Contiene,Tubo por el que se introduce comida o medicamentos en el cuerpo o se extrae sangre.,Cánula,Ciencia,Medio
O,Empieza,Trayectoria curva que describe un cuerpo celeste alrededor de otro.,Órbita,Ciencia,Medio
O,Empieza,Gas presente en la atmósfera (O3) que nos protege de la radiación ultravioleta.,Ozono,Ciencia,Medio
O,Empieza,Animal que se alimenta tanto de plantas como de otros animales.,Omnívoro,Ciencia,Medio
P,Empieza,"Nutriente esencial para el crecimiento y reparación de los tejidos, formado por aminoácidos.",Proteína,Ciencia,Medio
P,Empieza,"Organismo que vive a costa de otro de distinta especie, perjudicándolo.",Parásito,Ciencia,Medio
P,Empieza,Partícula subatómica con carga eléctrica positiva que está en el núcleo.,Protón,Ciencia,Medio
Q,Empieza,"Proteína rica en azufre que forma la capa externa de la piel, el pelo y las uñas.",Queratina,Ciencia,Medio
Q,Empieza,Sala de un hospital equipada para realizar operaciones quirúrgicas.,Quirófano,Ciencia,Medio
Q,Empieza,Masa sólida que se obtiene al madurar la cuajada de la leche.,Queso,Ciencia,Medio
R,Empieza,Emisión y propagación de energía en forma de ondas o partículas.,Radiación,Ciencia,Medio
R,Empieza,Reacción involuntaria y rápida del cuerpo ante un estímulo.,Reflejo,Ciencia,Medio
R,Empieza,Tejido sensible a la luz situado en la parte posterior del ojo.,Retina,Ciencia,Medio
S,Empieza,Objeto natural o artificial que orbita alrededor de un planeta.,Satélite,Ciencia,Medio
S,Empieza,Movimiento brusco de la corteza terrestre; terremoto.,Sismo,Ciencia,Medio
S,Empieza,Elemento químico (Na) muy abundante en la sal marina.,Sodio,Ciencia,Medio
T,Empieza,Instrumento óptico que permite ver objetos lejanos con mucho detalle.,Telescopio,Ciencia,Medio
T,Empieza,Conjunto de células similares que realizan una función específica.,Tejido,Ciencia,Medio
T,Empieza,Parte de la geología que estudia las placas que forman la corteza terrestre.,Tectónica,Ciencia,Medio
U,Empieza,Elemento químico radiactivo que se utiliza como combustible nuclear.,Uranio,Ciencia,Medio
U,Empieza,Límite mínimo de estímulo (como dolor o sonido) que una persona puede percibir.,Umbral,Ciencia,Medio
U,Empieza,Órgano muscular hueco de las hembras de los mamíferos donde se desarrolla el feto.,Útero,Ciencia,Medio
V,Empieza,Magnitud física que expresa el espacio recorrido por un objeto en una unidad de tiempo.,Velocidad,Ciencia,Medio
V,Empieza,Preparado biológico que proporciona inmunidad adquirida ante una enfermedad.,Vacuna,Ciencia,Medio
V,Empieza,Vaso sanguíneo que lleva la sangre desde los tejidos hacia el corazón.,Vena,Ciencia,Medio
W,Contiene,Unidad de potencia del Sistema Internacional (Vatio en inglés).,Watt,Ciencia,Medio
W,Contiene,Científico inglés que formuló la ley de la gravitación universal (Isaac...).,Newton,Ciencia,Medio
W,Contiene,Conjunto de programas y rutinas que permiten a la computadora realizar tareas.,Software,Ciencia,Medio
X,Empieza,"Elemento químico, gas noble, incoloro y muy pesado, usado en lámparas y flashes.",Xenón,Ciencia,Medio
X,Contiene,Suspensión de la respiración por falta de oxígeno.,Asfixia,Ciencia,Medio
X,Contiene,Parte del tronco humano situada entre el cuello y el abdomen.,Tórax,Ciencia,Medio
Y,Empieza,"Elemento químico halógeno de color violeta oscuro, usado como desinfectante.",Yodo,Ciencia,Medio
Y,Empieza,Mineral de sulfato de calcio que se usa en construcción y escultura.,Yeso,Ciencia,Medio
Y,Empieza,Vena grande del cuello que recoge la sangre de la cabeza.,Yugular,Ciencia,Medio
Z,Empieza,Elemento químico metálico (Zn) usado para proteger el acero de la corrosión.,Zinc,Ciencia,Medio
Z,Empieza,Abeja macho cuya función principal es fecundar a la reina.,Zángano,Ciencia,Medio
Z,Empieza,Región climática definida por unas determinadas temperaturas y precipitaciones.,Zona,Ciencia,Medio
A,Empieza,Muerte celular programada que ocurre de manera natural y controlada en el desarrollo de un organismo.,Apoptosis,Ciencia,Difícil
A,Empieza,"Partícula hipotética de materia oscura o, en física real, ion con carga eléctrica negativa.",Anión,Ciencia,Difícil
A,Empieza,Porcentaje de radiación que cualquier superficie refleja respecto a la radiación que incide sobre ella.,Albedo,Ciencia,Difícil
B,Empieza,"Partícula elemental mediadora de la interacción nuclear, como el de Higgs.",Bosón,Ciencia,Difícil
B,Empieza,"Organismos que habitan en el fondo de los ecosistemas acuáticos, a diferencia del plancton.",Bentos,Ciencia,Difícil
B,Empieza,Escala utilizada para medir la dureza de los materiales a través de la penetración de una bola de acero.,Brinell,Ciencia,Difícil
C,Empieza,Sustancia que aumenta la velocidad de una reacción química sin consumirse en el proceso.,Catalizador,Ciencia,Difícil
C,Empieza,Técnica de laboratorio utilizada para separar los componentes de una mezcla.,Cromatografía,Ciencia,Difícil
C,Empieza,"Fluido gelatinoso que llena el interior de una célula, excluyendo el núcleo.",Citoplasma,Ciencia,Difícil
D,Empieza,Prolongación ramificada de una neurona dedicada a la recepción de impulsos nerviosos.,Dendrita,Ciencia,Difícil
D,Empieza,Fenómeno característico de las ondas que se basa en la desviación de estas al encontrar un obstáculo.,Difracción,Ciencia,Difícil
D,Empieza,Procedimiento médico que filtra artificialmente la sangre cuando los riñones no funcionan.,Diálisis,Ciencia,Difícil
E,Empieza,Magnitud termodinámica que mide el grado de desorden molecular de un sistema.,Entropía,Ciencia,Difícil
E,Empieza,Proteína compleja que actúa como catalizador biológico acelerando reacciones vitales.,Enzima,Ciencia,Difícil
E,Empieza,Parte de la química que estudia las relaciones cuantitativas entre los reactivos y productos.,Estequiometría,Ciencia,Difícil
F,Empieza,"Partícula elemental portadora de todas las formas de radiación electromagnética, incluida la luz.",Fotón,Ciencia,Difícil
F,Empieza,Reacción nuclear en la que un núcleo pesado se divide en otros más ligeros liberando energía.,Fisión,Ciencia,Difícil
F,Empieza,Conjunto de caracteres visibles que un individuo presenta como resultado de la interacción entre su genotipo y el medio.,Fenotipo,Ciencia,Difícil
G,Empieza,"Conjunto completo de ADN de un organismo, incluyendo todos sus genes.",Genoma,Ciencia,Difícil
G,Empieza,Célula reproductora masculina o femenina (espermatozoide u óvulo) con carga cromosómica haploide.,Gameto,Ciencia,Difícil
G,Empieza,Vía metabólica encargada de oxidar la glucosa para obtener energía para la célula.,Glucólisis,Ciencia,Difícil
H,Empieza,Capacidad de los organismos vivos para mantener una condición interna estable y constante.,Homeostasis,Ciencia,Difícil
H,Empieza,Reacción química en la que una molécula de agua rompe uno o más enlaces químicos.,Hidrólisis,Ciencia,Difícil
H,Empieza,"Región del cerebro que controla la temperatura corporal, el hambre y la sed.",Hipotálamo,Ciencia,Difícil
I,Empieza,Átomo de un mismo elemento químico que tiene diferente número de neutrones en su núcleo.,Isótopo,Ciencia,Difícil
